date,open,close,high,low
3/9/2022 16:56:00,111209.75,113900.34,114051.39,111207.23
3/10/2022 16:56:00,113900.34,113663.13,113939,111888.81
3/11/2022 16:56:00,113663.92,111713.07,114627.23,111331.84
3/14/2022 16:56:00,111715.79,109927.62,112298.93,109716.65
3/15/2022 16:56:00,109924.54,108959.3,109924.54,107780.86
3/16/2022 16:56:00,108957.59,111112.43,111183.45,108957.59
3/17/2022 16:56:00,111112.58,113076.33,113087.75,111070.36
3/18/2022 16:56:00,113076.33,115310.91,115310.91,112474.76
3/21/2022 16:56:00,115306.78,116154.53,116359.55,115207.78
3/22/2022 16:56:00,116156.77,117272.44,117540.64,116156.77
3/23/2022 16:56:00,117269.91,117457.34,118269.79,117036.14
3/24/2022 16:56:00,117460.3,119052.91,119256.41,117150.79
3/25/2022 16:56:00,119062.13,119081.13,119728.7,118548.49
3/28/2022 16:56:00,119082.27,118737.78,119444.42,118060.65
3/29/2022 16:56:00,118739.6,120014.17,120900.02,118739.6
3/30/2022 16:56:00,120013.36,120259.76,120531.15,119775.24
3/31/2022 16:56:00,120260.59,119999.23,120879.66,119999.23
4/1/2022 16:56:00,120001.02,121570.15,121578.84,120001.02
4/4/2022 16:56:00,121569.05,121279.51,121570.09,120753.69
4/5/2022 16:56:00,121279.33,118885.15,121628.22,118793.87
4/6/2022 16:56:00,118885.26,118227.75,118885.26,116790.6
4/7/2022 16:56:00,118226.04,118862.12,119247.25,117508.58
4/8/2022 16:56:00,118861.49,118322.26,118868.33,117486.61
4/11/2022 16:56:00,118320.39,116952.85,118320.39,116952.85
4/12/2022 16:56:00,116963.38,116146.86,118615.38,116054.4
4/13/2022 16:56:00,116149.68,116781.96,117329.4,116149.68
4/14/2022 16:56:00,116781.12,116181.61,116781.12,115623.52
4/18/2022 16:56:00,116181.61,115687.25,116190.97,115176.64
4/19/2022 16:56:00,115686.95,115056.66,115686.95,114277.16
4/20/2022 16:56:00,115056.66,114343.78,115056.66,113945.48
4/22/2022 16:56:00,114343.3,111077.51,114343.3,110590.55
4/25/2022 16:56:00,111076.85,110684.95,111155.01,109221.87
4/26/2022 16:56:00,110684.23,108212.86,110684.95,107977.7
4/27/2022 16:56:00,108214.13,109349.37,110107.48,108214.13
4/28/2022 16:56:00,109349,109918.97,110701.66,108905.49
4/29/2022 16:56:00,109922.03,107876.16,111819.21,107876.16
5/2/2022 16:56:00,107876.15,106638.64,107883.84,105218.19
5/3/2022 16:56:00,106639.85,106528.09,107126.69,106033.06
5/4/2022 16:56:00,106529.39,108343.74,108381.76,104932.97
5/5/2022 16:56:00,108336.81,105304.19,108336.81,103923.27
5/6/2022 16:56:00,105302.72,105134.73,106267.57,103984.11
5/9/2022 16:56:00,105109.06,103250.02,105109.06,102768.18
5/10/2022 16:56:00,103251.12,103109.94,104286.27,102386.18
5/11/2022 16:56:00,103109.94,104396.9,105374.25,103007.59
5/12/2022 16:56:00,104395.45,105687.64,105707.56,103578.58
5/13/2022 16:56:00,105690.55,106924.18,107772.82,105690.55
5/16/2022 16:56:00,106924.87,108232.74,108794.91,106851.58
5/17/2022 16:56:00,108246.23,108789.33,109773.99,108244.6
5/18/2022 16:56:00,108788.23,106247.15,108923.44,106038.4
5/19/2022 16:56:00,106248.98,107005.22,107420.34,105760.05
5/20/2022 16:56:00,107056.05,108487.88,108794.63,107056.05
5/23/2022 16:56:00,108499.83,110345.82,110679.6,108499.83
5/24/2022 16:56:00,110340.07,110580.79,110635.27,108399.23
5/25/2022 16:56:00,110579.87,110579.81,111006.05,109699.18
5/26/2022 16:56:00,110577.27,111889.88,112101.51,110388.48
5/27/2022 16:56:00,111889.88,111941.68,112440.8,111558.24
5/30/2022 16:56:00,111943.81,111032.11,112690.15,110655.46
5/31/2022 16:56:00,111035.69,111350.51,111902.64,110685.49
6/1/2022 16:56:00,111350.51,111359.94,111930.89,110821.51
6/2/2022 16:56:00,111363.07,112392.91,112708.96,111218.2
6/3/2022 16:56:00,112391.83,111102.32,112391.83,110935.15
6/6/2022 16:56:00,111102.32,110185.91,111934.78,110015.2
6/7/2022 16:56:00,110185.18,110069.76,110435.02,109393.54
6/8/2022 16:56:00,110066.83,108367.67,110142.34,108045.38
6/9/2022 16:56:00,108367.33,107093.71,108510.31,107067.62
6/10/2022 16:56:00,107091.09,105481.23,107092.37,104647.59
6/13/2022 16:56:00,105476.39,102598.18,105478.15,101699.55
6/14/2022 16:56:00,102598.18,102063.25,103327.73,101325.28
6/15/2022 16:56:00,102067.88,102806.82,103951.95,102046.47
6/17/2022 16:56:00,102800.01,99824.94,102800.87,98401.73
6/20/2022 16:56:00,99824.25,99852.67,100481.11,98408.88
